N_atoms,M_levels,nmax,nt,RAM_min,TIME_build,RAM_build,TIME_compile,RAM_compile,TIME_run,RAM_run
1,2,10,1000,6.10 MB,20.807608595,115.38 MB,10.514946680,143.60 MB,.185991045,N/A
2,2,10,1000,24.41 MB,140.138887077,145.67 MB,368.363624795,1.04 GB,.652734088,N/A
2,2,10,1000,24.41 MB,138.670507582,144.65 MB,349.130148086,1.04 GB,1.102988640,N/A
2,2,10,1000,24.41 MB,140.098192043,143.79 MB,153.059731730,1.04 GB,.243841717,8.76 MB
2,2,10,1000,24.41 MB,138.281526250,145.66 MB,122.136357673,1.04 GB,.211839725,8.64 MB
3,2,5,1000,24.41 MB,190.439576375,148.53 MB,258.591772804,1.56 GB,.293962729,8.82 MB
3,2,5,1000,24.41 MB,188.019812189,148.50 MB,280.586026210,1.57 GB,.289205574,9.05 MB
3,2,10,1000,97.65 MB,867.226899728,223.72 MB,4006.765871868,3.22 GB,1.503933909,13.37 MB
4,2,5,1000,97.65 MB,1126.369529765,228.50 MB,6639.858631876,4.04 GB,1.849427744,14.87 MB
4,2,10,1000,,5220,,153313.793153208,16.93 GB,90.486167715,39.49 MB
